session_date,minute_of_session,usable_observation,bar_present,sigma_history_valid,prior_14_eligible_usable,band_warm
2008-03-04,30,True,True,True,14,True
2008-03-04,60,True,True,True,14,True
2008-03-04,90,True,True,True,14,True
2008-03-04,120,True,True,True,14,True
2008-03-04,150,True,True,True,14,True
2008-03-04,180,True,True,True,14,True
2008-03-04,210,True,True,True,14,True
2008-03-04,240,True,True,True,14,True
2008-03-04,270,True,True,True,14,True
2008-03-04,300,True,True,True,14,True
2008-03-04,330,True,True,True,14,True
2008-03-04,360,True,True,True,14,True
2008-03-04,390,True,True,True,14,True
2008-03-05,30,True,True,True,14,True
2008-03-05,60,True,True,True,14,True
2008-03-05,90,True,True,True,14,True
2008-03-05,120,True,True,True,14,True
2008-03-05,150,True,True,True,14,True
2008-03-05,180,True,True,True,14,True
2008-03-05,210,True,True,True,14,True
2008-03-05,240,True,True,True,14,True
2008-03-05,270,True,True,True,14,True
2008-03-05,300,True,True,True,14,True
2008-03-05,330,True,True,True,14,True
2008-03-05,360,True,True,True,14,True
2008-03-05,390,True,True,True,14,True
2008-03-06,30,True,True,True,14,True
2008-03-06,60,True,True,True,14,True
2008-03-06,90,True,True,True,14,True
2008-03-06,120,True,True,True,14,True
2008-03-06,150,True,True,True,14,True
2008-03-06,180,True,True,True,14,True
2008-03-06,210,True,True,True,14,True
2008-03-06,240,True,True,True,14,True
2008-03-06,270,True,True,True,14,True
2008-03-06,300,True,True,True,14,True
2008-03-06,330,True,True,True,14,True
2008-03-06,360,True,True,True,14,True
2008-03-06,390,True,True,True,14,True
2008-03-07,30,True,True,True,14,True
2008-03-07,60,True,True,True,14,True
2008-03-07,90,True,True,True,14,True
2008-03-07,120,True,True,True,14,True
2008-03-07,150,True,True,True,14,True
2008-03-07,180,True,True,True,14,True
2008-03-07,210,True,True,True,14,True
2008-03-07,240,True,True,True,14,True
2008-03-07,270,True,True,True,14,True
2008-03-07,300,True,True,True,14,True
2008-03-07,330,True,True,True,14,True
2008-03-07,360,True,True,True,14,True
2008-03-07,390,True,True,True,14,True
2008-03-10,30,True,True,True,14,True
2008-03-10,60,True,True,True,14,True
2008-03-10,90,True,True,True,14,True
2008-03-10,120,True,True,True,14,True
2008-03-10,150,True,True,True,14,True
2008-03-10,180,True,True,True,14,True
2008-03-10,210,True,True,True,14,True
2008-03-10,240,True,True,True,14,True
2008-03-10,270,True,True,True,14,True
2008-03-10,300,True,True,True,14,True
2008-03-10,330,True,True,True,14,True
2008-03-10,360,True,True,True,14,True
2008-03-10,390,True,True,True,14,True
2008-03-11,30,True,True,True,14,True
2008-03-11,60,True,True,True,14,True
2008-03-11,90,True,True,True,14,True
2008-03-11,120,True,True,True,14,True
2008-03-11,150,True,True,True,14,True
2008-03-11,180,True,True,True,14,True
2008-03-11,210,True,True,True,14,True
2008-03-11,240,True,True,True,14,True
2008-03-11,270,True,True,True,14,True
2008-03-11,300,True,True,True,14,True
2008-03-11,330,True,True,True,14,True
2008-03-11,360,True,True,True,14,True
2008-03-11,390,True,True,True,14,True
2008-03-12,30,True,True,True,14,True
2008-03-12,60,True,True,True,14,True
2008-03-12,90,True,True,True,14,True
2008-03-12,120,True,True,True,14,True
2008-03-12,150,True,True,True,14,True
2008-03-12,180,True,True,True,14,True
2008-03-12,210,True,True,True,14,True
2008-03-12,240,True,True,True,14,True
2008-03-12,270,True,True,True,14,True
2008-03-12,300,True,True,True,14,True
2008-03-12,330,True,True,True,14,True
2008-03-12,360,True,True,True,14,True
2008-03-12,390,True,True,True,14,True
2008-03-13,30,True,True,True,14,True
2008-03-13,60,True,True,True,14,True
2008-03-13,90,True,True,True,14,True
2008-03-13,120,True,True,True,14,True
2008-03-13,150,True,True,True,14,True
2008-03-13,180,True,True,True,14,True
2008-03-13,210,True,True,True,14,True
2008-03-13,240,True,True,True,14,True
2008-03-13,270,True,True,True,14,True
2008-03-13,300,True,True,True,14,True
2008-03-13,330,True,True,True,14,True
2008-03-13,360,True,True,True,14,True
2008-03-13,390,True,True,True,14,True
2008-03-14,30,True,True,True,14,True
2008-03-14,60,True,True,True,14,True
2008-03-14,90,True,True,True,14,True
2008-03-14,120,True,True,True,14,True
2008-03-14,150,True,True,True,14,True
2008-03-14,180,True,True,True,14,True
2008-03-14,210,True,True,True,14,True
2008-03-14,240,True,True,True,14,True
2008-03-14,270,True,True,True,14,True
2008-03-14,300,True,True,True,14,True
2008-03-14,330,True,True,True,14,True
2008-03-14,360,True,True,True,14,True
2008-03-14,390,True,True,True,14,True
2008-03-17,30,True,True,True,14,True
2008-03-17,60,True,True,True,14,True
2008-03-17,90,True,True,True,14,True
2008-03-17,120,True,True,True,14,True
2008-03-17,150,True,True,True,14,True
2008-03-17,180,True,True,True,14,True
2008-03-17,210,True,True,True,14,True
2008-03-17,240,True,True,True,14,True
2008-03-17,270,True,True,True,14,True
2008-03-17,300,True,True,True,14,True
2008-03-17,330,True,True,True,14,True
2008-03-17,360,True,True,True,14,True
2008-03-17,390,True,True,True,14,True
